title,artist,genre,year
Shadows of the Night 39,Echo Ensemble,Rock,2020
Whispers in the Wind 76,The Vibrations,Classical,2021
Shadows of the Night 71,The Harmonics,Jazz,1988
Shadows of the Night 87,The Harmonics,Rock,2011
Rhythms of the Heart 67,Echo Ensemble,Rock,1988
Rhythms of the Heart 64,Serenity Sounds,Rock,2012
Rhythms of the Heart 76,The Harmonics,Rock,2003
Echoes of Eternity 24,Serenity Sounds,Pop,1996
Rhythms of the Heart 13,Echo Ensemble,Classical,1989
Shadows of the Night 65,Echo Ensemble,Pop,1987
Echoes of Eternity 80,The Vibrations,Classical,2003
Rhythms of the Heart 50,Serenity Sounds,Rock,1988
Whispers in the Wind 44,Serenity Sounds,Pop,2020
Echoes of Eternity 60,Serenity Sounds,Classical,1987
Echoes of Eternity 62,The Harmonics,Rock,1985
Echoes of Eternity 23,Serenity Sounds,Pop,2017
Rhythms of the Heart 29,Echo Ensemble,Rock,2003
Rhythms of the Heart 93,The Vibrations,Classical,1998
Echoes of Eternity 55,The Vibrations,Rock,1981
Echoes of Eternity 21,The Vibrations,Rock,2008
Shadows of the Night 27,Serenity Sounds,Jazz,1981
Whispers in the Wind 63,The Vibrations,Pop,2014
Echoes of Eternity 71,Echo Ensemble,Pop,2021
Whispers in the Wind 6,The Harmonics,Jazz,1995
Echoes of Eternity 84,The Vibrations,Jazz,1983
Echoes of Eternity 10,The Vibrations,Pop,1987
Shadows of the Night 58,The Harmonics,Classical,2017
Echoes of Eternity 9,Echo Ensemble,Pop,1995
Whispers in the Wind 85,The Vibrations,Rock,2022
Whispers in the Wind 100,The Harmonics,Classical,1994
Echoes of Eternity 30,The Vibrations,Jazz,1997
Shadows of the Night 100,Serenity Sounds,Classical,1983
Whispers in the Wind 87,Echo Ensemble,Jazz,2004
Echoes of Eternity 64,Serenity Sounds,Pop,1995
Echoes of Eternity 50,The Vibrations,Pop,2007
Whispers in the Wind 35,Serenity Sounds,Classical,2003
Shadows of the Night 7,Echo Ensemble,Rock,2012
Whispers in the Wind 32,The Harmonics,Classical,1986
Shadows of the Night 63,Serenity Sounds,Classical,2017
Rhythms of the Heart 70,Echo Ensemble,Jazz,2004
Shadows of the Night 56,Echo Ensemble,Pop,2022
Echoes of Eternity 64,The Vibrations,Jazz,2011
Rhythms of the Heart 48,The Harmonics,Classical,2022
Rhythms of the Heart 93,Echo Ensemble,Pop,1981
Echoes of Eternity 53,The Vibrations,Jazz,1981
Echoes of Eternity 56,The Vibrations,Jazz,1996
Rhythms of the Heart 62,The Harmonics,Rock,1980
Shadows of the Night 27,The Vibrations,Rock,1988
Shadows of the Night 54,The Vibrations,Jazz,1983
Echoes of Eternity 29,The Harmonics,Classical,1983
Rhythms of the Heart 80,The Vibrations,Classical,2021
Whispers in the Wind 73,Echo Ensemble,Rock,1980
Whispers in the Wind 23,The Vibrations,Pop,2022
Shadows of the Night 21,The Harmonics,Classical,2006
Rhythms of the Heart 61,Echo Ensemble,Rock,2002
Shadows of the Night 95,The Harmonics,Rock,2014
Echoes of Eternity 88,The Harmonics,Jazz,2016
Whispers in the Wind 12,Serenity Sounds,Jazz,2012
